110;Flagi;Gmina;Nazwa;X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);
1;B,P(114);ZTM;Wrzeszcz PKP;;0;0;0;0;0;0;0;0;0;
2;P(1383);ZTM;Galeria Ba³tycka;0;2;3;3;3;3;4;4;2;3;
3;P(1923);ZTM;Zabytkowa;1;1;2;2;2;3;4;4;2;2;
4;P(1925);ZTM;Srebrzysko;1;1;1;1;1;1;2;2;1;1;
5;P(1389);ZTM;Trawki (n/¿);1;1;1;2;2;1;1;1;1;1;
6;P(1391);ZTM;Potokowa;1;1;1;1;1;1;2;2;1;2;
7;P(1395);ZTM;S³owackiego - Dzia³ki (n/¿);2;2;2;2;2;2;2;2;2;2;
8;P(1397);ZTM;Z³ota Karczma;3;3;4;4;4;4;4;4;4;4;
9;P(1610);ZTM;Wiolinowa;1;1;1;1;1;1;1;1;1;1;
10;P(1611);ZTM;Osiedle Z³ota Karczma;2;2;2;2;2;2;2;2;2;2;
11;P(1802);ZTM;Wiolinowa;1;1;1;1;1;1;1;1;1;1;
12;P(1399);ZTM;Agrarna;2;2;2;2;2;2;2;2;2;2;
13;P(1401);ZTM;Astronautów;1;1;1;1;1;1;1;1;1;1;
14;P(1403);ZTM;Szybowcowa;2;2;2;2;2;2;2;2;2;2;
15;P(1407);ZTM;Radarowa;2;2;2;2;2;2;2;2;2;2;
16;P(1408);ZTM;Ikara;1;1;1;1;1;1;1;1;1;1;
17;P(1409);ZTM;Radiowa (n/¿);2;2;2;2;2;2;2;2;2;2;
18;P(1406),1,I;ZTM;BCB Azymutalna;;;;3;;;;3;;;
19;P(1410);ZTM;Spadochroniarzy;1;1;1;1;1;1;1;1;1;1;
20;B,N,K0,P(103);ZTM;Port Lotniczy;2;2;2;2;2;2;2;2;2;2;
