130;Flagi;Gmina;Nazwa;X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);
1;B,P(1257);ZTM;Dworzec PKS;;0;0;;0;
2;P(1259);ZTM;Nowe Ogrody;;1;2;;1;
3;P(1329);ZTM;Bema;;2;2;;2;
4;P(1331);ZTM;P³owce;;2;2;;1;
5;P(1881);ZTM;Focha (n/¿);;1;1;;1;
6;P(1333);ZTM;Cygañska Góra;;1;1;;1;
7;P(1335);ZTM;Wagnera;;2;2;;2;
8;P(1337);ZTM;Otwarta;;1;1;;1;
9;P(1339);ZTM;Kurpiñskiego;;1;1;;1;
10;P(1369);ZTM;Piecewska;0;3;3;0;3;
11;P(1371);ZTM;Warneñska;1;1;1;1;1;
12;P(1373);ZTM;Budapesztañska;1;1;1;2;2;
13;P(1777);ZTM;Migowo;1;1;1;1;1;
14;P(1849);ZTM;Wo³kowyska;1;1;1;1;1;
15;P(1851);ZTM;Zacna;2;2;2;2;2;
16;P(1853);ZTM;Staw Wróbla;1;1;1;1;1;
17;P(1871);ZTM;Jasieñska;1;1;1;1;1;
18;B,N,K0,P(185);ZTM;Jasieñ PKM;1;1;1;1;1;
