99;Dni powszednie;#EEEEEE
04:55;X6;
05:25;X7;
05:55;X6;
06:13;X8;
06:36;X9;
06:56;X8;
07:21;X9;
07:41;X8;
08:08;X6;
08:38;X7;
09:08;X7;
09:48;X7;
10:28;X7;
11:08;X7;
11:48;X7;
12:28;X7;
12:58;X7;
13:28;X9;
13:43;X8;
14:08;X9;
14:33;X9;
14:53;X9;
15:09;X8;
15:35;X9;
15:55;X8;
16:18;X9;
16:48;X9;
17:08;X7;
17:48;X7;
18:28;X6;
19:08;X7;
19:48;X6;
20:28;X7;
21:08;X6;
21:38;X7;
22:38;X6;
99;Soboty;#E6E6FA
05:12;X14;
06:07;X15;
06:47;X14;
07:09;X7;
07:49;X7;
08:29;X7;
09:09;X7;
09:49;X7;
10:29;X7;
11:09;X7;
11:49;X7;
12:29;X7;
13:09;X7;
13:49;X7;
14:29;X7;
15:09;X7;
15:49;X7;
16:29;X7;
17:09;X7;
17:49;X6;
18:27;X7;
19:29;X7;
20:29;X7;
21:35;X7;
22:58;X14;
99;Niedziele i œwiêta;#FFE4E1
05:38;X15;
06:47;X14;
07:47;X15;
09:01;X7;
10:19;X7;
11:09;X6;
11:49;X7;
12:29;X6;
13:09;X7;
13:49;X6;
14:29;X7;
15:09;X6;
15:49;X7;
16:29;X6;
17:09;X7;
17:49;X6;
18:27;X7;
19:29;X7;
20:29;X7;
21:35;X7;
22:58;X14;
