162;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X8(00:00-29:59);
1;B,P(132);ZTM;Orunia Górna;0;0;0;0;
2;P(1734);ZTM;Platynowa;2;2;2;2;
3;P(390);ZTM;£ostowice Œwiêtokrzyska;2;2;2;2;
4;P(1742);ZTM;Œwiêtokrzyska (n/¿);2;2;2;2;
5;P(1316);ZTM;P³ocka;1;1;1;1;
6;P(1314);ZTM;Przemyska;1;1;1;1;
7;P(1980);ZTM;Wilanowska;1;1;1;1;
8;P(1310);ZTM;Cmentarz £ostowicki;2;2;2;2;
9;P(1633);ZTM;Emaus;2;3;2;3;
10;P(1723);ZTM;Piekarnicza;2;2;1;2;
11;P(1372);ZTM;Piecewska;2;2;2;2;
12;P(1370);ZTM;Dobrowolskiego;1;1;1;1;
13;P(1368);ZTM;Strzelnica (n/¿);1;1;1;1;
14;P(1366);ZTM;Falista (n/¿);1;1;1;1;
15;P(1364);ZTM;Na Wzgórzu;1;2;1;1;
16;P(1362);ZTM;Sobótki (n/¿);1;2;1;1;
17;P(1776);ZTM;Grunwaldzka;3;3;3;3;
18;B,N,K0,P(314);ZTM;Wrzeszcz PKP;2;2;2;2;
