168;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X15(00:00-29:59);X16(00:00-29:59)
1;B,P(178);ZTM;Kie≥pino GÛrne (WÍsierska);0;0;0;0;0;0;0
2;P(1798);ZTM;£apiÒska;1;1;1;1;1;1;1
3;P(146);ZTM;Kie≥pino GÛrne (Lipuska);1;1;1;1;;;1
4;P(1304);ZTM;Kie≥pino - Szko≥a;1;1;1;1;1;1;1
5;P(1302);ZTM;OtomiÒska;1;1;1;1;1;1;1
6;P(1722);ZTM;GostyÒska (n/ø);1;1;1;1;1;1;1
7;P(1282);ZTM;Karczemki;1;1;1;1;1;1;1
8;P(1929);ZTM;Przytulna;4;4;4;4;4;4;4
9;P(1931);ZTM;SzczÍúliwa;1;1;1;1;1;1;1
10;P(1928);ZTM;Przytulna (n/ø);1;1;1;1;1;1;1
11;P(1278);ZTM;JasieÒ - Dzia≥ki (n/ø);2;2;2;2;2;2;2
12;P(1258);ZTM;èrÛdlana (n/ø);2;2;2;2;2;2;2
13;P(1276);ZTM;Zwierzyniecka;0;0;0;0;0;0;0
14;P(1274);ZTM;Damroki;1;1;1;1;1;1;1
15;P(1272);ZTM;Lipowa;2;2;2;3;2;2;2
16;P(1270);ZTM;Myúliwska;1;2;1;1;1;1;1
17;P(1268);ZTM;PagÛrkowa;1;2;1;1;1;1;1
18;P(1266);ZTM;Zielony Stok;1;2;1;1;1;1;1
19;P(1264);ZTM;Emaus;1;2;1;2;1;1;1
20;P(362);ZTM;Siedlce;1;1;1;1;1;1;1
21;P(1633);ZTM;Emaus;2;3;3;3;2;3;3
22;P(1343);ZTM;Park Naukowo - Technologiczny;2;2;2;2;2;2;2
23;P(1360);ZTM;Schuberta;1;1;1;1;1;1;1
24;P(1358);ZTM;Schumana;1;1;1;1;1;1;1
25;P(1356);ZTM;Pomorskie Szko≥y Rzemios≥;1;1;1;1;1;1;1
26;P(1354);ZTM;Jarowa;1;1;1;1;1;1;1
27;P(1352);ZTM;KrÍta;1;1;1;1;1;1;1
28;P(1350);ZTM;Traugutta - Sobieskiego;1;1;1;1;1;1;1
29;P(1348);ZTM;Uphagena;2;3;2;3;2;3;3
30;B,N,K0,P(314);ZTM;Wrzeszcz PKP;3;3;3;3;3;3;3
