99;Dni powszednie - okres nauki szkolnej;#EEEEEE
04:48;X0;;
05:30;X1;;
05:57;X1;;
06:22;X2;;
06:52;X2;;
07:22;X2;;
07:55;X3;;
08:17;X2;;
09:07;X2;;
10:12;X2;;
11:45;X2;;
12:50;X2;;
13:50;X2;;
14:15;X3;;
14:40;X2;;
15:05;X4;;
15:30;X5;;
16:05;X6;;
16:40;X5;;
17:15;X6;;
17:50;X6;;
18:25;X2;;
18:51;X7;;
19:31;X7;;
20:30;X8;;
21:30;X9;;
22:30;X8;;
99;Dni powszednie - ferie i wakacje;#EEEEEE
04:48;X0;;
05:30;X1;;
05:52;X0;;
06:22;X12;;
06:52;X12;;
07:22;X12;;
07:55;X7;;
08:17;X12;;
09:07;X12;;
10:07;X12;;
11:45;X12;;
12:50;X7;;
13:45;X12;;
14:15;X7;;
14:40;X12;;
15:05;X6;;
15:30;X13;;
16:05;X6;;
16:40;X13;;
17:15;X6;;
17:50;X6;;
18:25;X7;;
18:51;X7;;
19:31;X7;;
20:30;X8;;
21:30;X9;;
22:30;X8;;
99;Soboty;#E6E6FA
05:30;X14;;
06:30;X15;;
07:25;X14;;
08:25;X1;;
09:30;X1;;
10:30;X0;;
11:30;X1;;
12:30;X1;;
13:30;X1;;
14:30;X0;;
15:30;X1;;
16:30;X1;;
17:30;X1;;
18:30;X0;;
19:30;X1;;
20:30;X1;;
21:30;X1;;
22:30;X0;;
99;Niedziele i œwiêta;#FFE4E1
06:30;X15;;
07:25;X14;;
08:25;X1;;
09:30;X1;;
10:30;X0;;
11:30;X1;;
12:30;X1;;
13:30;X1;;
14:30;X0;;
15:30;X1;;
16:30;X1;;
17:30;X1;;
18:30;X0;;
19:30;X1;;
20:30;X1;;
21:30;X1;;
22:30;X0;;
