99;Dni powszednie;#EEEEEE
05:45;X0;;
06:15;X1;;
06:45;X1;;
07:15;X2;;
07:45;X2;;
08:15;X2;;
09:10;X0;;
10:10;X0;;
11:15;X3;;
12:15;X3;;
13:15;X3;;
14:15;X0;;
14:45;X4;;
15:17;X1;;
15:47;X1;;
16:17;X1;;
16:47;X1;;
17:17;X1;;
17:47;X1;;
18:15;X0;;
19:15;X0;;
20:15;X0;;
21:10;X5;;
22:10;X5;;
99;Soboty;#E6E6FA
07:17;X11;;
09:19;X11;;
10:19;X11;;
11:19;X12;;
12:49;X12;;
13:49;X12;;
14:50;X12;;
99;Niedziele i œwiêta;#FFE4E1
07:17;X11;;
09:19;X11;;
10:19;X11;;
11:19;X12;;
12:49;X12;;
13:49;X12;;
14:50;X12;;
