188;Flagi;Gmina;Nazwa;X2(00:00-29:59);
1;B,P(125);ZTM;Nowy Port Szaniec Zachodni;0;
2;P(1502);ZTM;W³adys³awa IV;2;
3;P(1588);ZTM;Na Zaspê;2;
4;P(1586);ZTM;Latarnia Morska;2;
5;P(1590);ZTM;Krasickiego (n/¿);3;
6;P(1496);ZTM;BrzeŸno;1;
7;P(1494);ZTM;PCK;1;
8;P(1492);ZTM;Dworska;2;
9;P(1998);ZTM;al. Hallera (n/¿);1;
10;P(1477);ZTM;Czarny Dwór;1;
11;P(1479);ZTM;Zaspa - Szpital;2;
12;P(1481);ZTM;Leszczyñskich;1;
13;P(1483);ZTM;Rzeczypospolitej;1;
14;P(1485);ZTM;Pilotów;2;
15;B,N,K0,P(124);ZTM;Zaspa SKM;1;
