199;Flagi;Gmina;Nazwa;X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);
1;B,P(118);ZTM;Oliwa PKP;;;0;0;0;0;0;
2;P(1741);ZTM;Beniowskiego (n/¿);;;1;1;1;1;1;
3;P(1453);ZTM;Bora Komorowskiego;;;2;2;2;2;2;
4;P(1455);ZTM;Czerwony Dwór;;;1;1;2;2;2;
5;P(1457);ZTM;Jagielloñska - Przychodnia;;;1;1;1;1;1;
6;P(1459);ZTM;D¹browszczaków;;;1;1;1;1;1;
7;P(1461);ZTM;D¹browszczaków - Obroñców Wybrze¿a;;0;1;1;2;2;2;
8;P(1463);ZTM;Olsztyñska;;1;1;1;1;1;1;
9;P(1465);ZTM;Opolska;;1;1;1;1;1;1;
10;P(1467);ZTM;Rzeczypospolitej - Ko³obrzeska;;1;1;1;1;1;1;
11;P(1469);ZTM;Krynicka;;2;2;2;2;2;2;
12;P(1791);ZTM;Przymorze SKM;;1;1;1;1;1;1;
13;P(1679);ZTM;Biblioteka G³ówna UG;;2;2;2;2;3;3;
14;P(1793);ZTM;Abrahama;;1;1;1;1;1;1;
15;P(1629);ZTM;Wojska Polskiego;;1;1;2;2;2;2;
16;P(1631);ZTM;Galeria Ba³tycka;0;2;2;3;3;3;3;
17;P(1593);ZTM;Jaœkowa Dolina;2;2;2;2;2;2;2;
18;P(1347);ZTM;Matejki;2;2;2;2;2;2;2;
19;P(1349);ZTM;Traugutta - Sobieskiego;2;2;2;2;2;2;2;
20;P(1351);ZTM;Krêta;1;1;1;1;1;1;2;
21;P(1353);ZTM;Jarowa;1;1;1;1;1;1;1;
22;P(1355);ZTM;Pomorskie Szko³y Rzemios³;1;1;1;1;1;1;1;
23;P(1357);ZTM;Schumana;1;1;1;1;1;1;1;
24;P(1359);ZTM;Schuberta;1;1;1;1;1;1;1;
25;P(1338);ZTM;Kurpiñskiego;2;2;2;2;2;2;2;
26;P(1336);ZTM;Otwarta;1;1;1;1;1;1;1;
27;B,N,K0,P(151);ZTM;Suchanino;1;1;1;1;1;1;1;
