99;Dni powszednie;#EEEEEE
04:58;X0;;
04:51;X1;;
05:16;X1;;
05:31;X2;;
06:01;X2;;
06:31;X2;;
07:01;X3;;
07:36;X3;;
08:05;X4;;
08:45;X5;;
09:25;X5;;
10:05;X5;;
10:45;X5;;
11:24;X5;;
12:51;X6;;
12:05;X5;;
12:46;X5;;
13:16;X7;;
13:46;X7;;
14:11;X7;;
14:46;X7;;
15:11;X8;;
15:43;X9;;
16:11;X8;;
16:46;X10;;
17:16;X10;;
17:56;X10;;
18:36;X10;;
19:12;X10;;
19:52;X2;;
20:27;X2;;
21:07;X2;;
21:56;X11;;
99;Soboty, niedziele i œwiêta;#FFE4E1
04:33;X0;;
04:51;X1;;
06:25;X0;;
06:26;X24;;
07:27;X25;;
08:12;X25;;
09:12;X26;;
10:12;X26;;
11:12;X26;;
12:12;X26;;
13:12;X26;;
14:12;X26;;
15:12;X26;;
16:12;X26;;
17:12;X26;;
18:12;X26;;
19:12;X26;;
20:12;X26;;
20:57;X27;;
21:56;X11;;
