574;Flagi;Gmina;Nazwa;X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59)
1;B,P(199);ZTM;Jasieñ - Pólnicy;0;0;0;0
2;P(1274);ZTM;Damroki;1;1;1;2
3;P(1306);ZTM;Jab³oniowa (n/¿);2;2;2;2
4;P(1971);ZTM;Lawendowe Wzgórze;1;1;1;1
5;P(1969);ZTM;Leszczynowa (n/¿);1;1;1;1
6;P(1685);ZTM;Szadó³ki;1;1;1;1
7;P(1852);ZTM;Przywidzka;;1;2;2
8;P(1965);ZTM;Czermiñskiego;;1;1;1
9;P(1963);ZTM;Rêbowo;;1;1;1
10;P(1854);ZTM;Czermiñskiego;;2;2;2
11;P(1687);ZTM;Przywidzka;1;2;2;2
12;P(1803);ZTM;Szadó³ki Obwodnica (n/¿);1;1;1;1
13;P(1805),S;ZTM;Lubowidzka (n/¿);1;1;1;1
14;P(1807);ZTM;Otomin - Dziewicza (n/¿);1;1;1;1
15;P(1809);ZTM;Otomin - Sarnia;2;2;2;2
16;B,N,K0,P(177);ZTM;Otomin - Pêtla;2;2;2;2
