10;Flagi;Gmina;Nazwa;X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X18(00:00-29:59);X19(00:00-29:59);X20(00:00-29:59);X21(00:00-29:59)
1;B,P(2169),1,I;ZTM;W³adys³awa IV;;0;;;0;;;0;;0;
2;P(208);ZTM;Nowy Port (Góreckiego);;1;0;;1;0;0;1;0;1;0
3;P(2166);ZTM;Wyzwolenia - Marynarki Polskiej;;2;2;;2;2;2;2;1;2;2
4;P(2164);ZTM;Œnie¿na;;1;1;;1;1;1;1;1;1;1
5;P(2162);ZTM;PGE ARENA Gdañsk;;2;2;;2;2;2;2;2;2;2
6;P(2160);ZTM;Mostostal;;1;1;;1;1;1;1;1;1;1
7;P(2158);ZTM;¯aglowa - AmberExpo;;1;1;;1;1;1;1;1;1;1
8;P(2156);ZTM;Swojska;;2;2;;2;2;2;2;2;2;2
9;P(2154);ZTM;Wêze³ Kliniczna;;1;1;;1;1;1;1;1;1;1
10;P(2069);ZTM;Kliniczna - Szpital;;1;1;;1;1;1;1;1;1;1
11;P(213),1,I,H;ZTM;Strzy¿a PKM;0;;;0;;;;;;;
12;P(2030),1,I,H;ZTM;Zajezdnia;1;;;1;;;;;;;
13;P(2028),1,I,H;ZTM;Zamenhofa;1;;;1;;;;;;;
14;P(2026),1,I,H;ZTM;Wojska Polskiego;1;;;1;;;;;;;
15;P(2024),1,I,H;ZTM;Galeria Ba³tycka;2;;;2;;;;;;;
16;P(2022),1,I,H;ZTM;Klonowa;1;;;2;;;;;;;
17;P(2020),1,I,H;ZTM;Jaœkowa Dolina;2;;;2;;;;;;;
18;P(2018),1,I,H;ZTM;Miszewskiego;2;;;2;;;;;;;
19;P(2016),1,I,H;ZTM;Politechnika;1;;;1;;;;;;;
20;P(2014);ZTM;Opera Ba³tycka;2;4;4;2;4;4;;;;4;4
21;P(2012);ZTM;Traugutta;2;2;2;2;2;2;;;;2;2
22;P(2010);ZTM;Uniwersytet Medyczny;1;1;1;1;1;1;;;;1;1
23;P(2008);ZTM;Chodowieckiego;1;1;1;1;1;1;;;;1;1
24;P(2006);ZTM;Brama Oliwska;1;1;1;1;1;1;;;;1;1
25;P(2136);ZTM;Dworzec PKS;2;2;2;2;2;2;;;;2;2
26;P(2132);ZTM;Nowe Ogrody;1;1;1;1;1;1;;;;1;1
27;P(2139);ZTM;Powstañców Warszawskich;2;2;2;2;2;2;;;;2;2
28;P(2141);ZTM;Paska;1;1;1;1;1;1;;;;1;1
29;P(2143);ZTM;Ciasna;1;1;1;1;1;1;;;;1;1
30;P(2145);ZTM;Zakopiañska;1;1;1;1;1;1;;;;1;1
31;P(2147);ZTM;Skrajna;2;2;2;2;2;2;;;;2;2
32;P(2149);ZTM;Siedlce;2;2;2;2;2;2;;;;2;2
33;P(2273);ZTM;Piekarnicza;3;3;3;4;4;4;;;;2;2
34;P(2271);ZTM;Belgradzka;1;1;1;1;1;1;;;;3;3
35;P(2269);ZTM;Warneñska;2;2;2;2;2;2;;;;1;1
36;P(2267);ZTM;Kolumba;2;2;2;2;2;2;;;;2;2
37;B,N,K0,P(224);ZTM;Brêtowo PKM;2;2;2;2;2;2;;;;2;2
38;P(2017),1,I,H;ZTM;Politechnika;;;;;;;2;2;2;;
39;P(2019),1,I,H;ZTM;Miszewskiego;;;;;;;1;1;1;;
40;P(2021),1,I,H;ZTM;Jaœkowa Dolina;;;;;;;2;2;1;;
41;P(2023),1,I,H;ZTM;Klonowa;;;;;;;1;1;1;;
42;P(2025),1,I,H;ZTM;Galeria Ba³tycka;;;;;;;2;2;2;;
43;P(2027),1,I,H;ZTM;Wojska Polskiego;;;;;;;2;2;2;;
44;P(2029),1,I,H;ZTM;Zamenhofa;;;;;;;1;1;1;;
45;P(2031),1,I,H;ZTM;Zajezdnia;;;;;;;1;1;1;;
46;B,N,K,P(213),1,I,H;ZTM;Strzy¿a PKM;;;;;;;1;1;1;;
