N5;Flagi;Gmina;Nazwa;X0(00:00-29:59)
1;B,P(5606);ZTM;Pruszcz Gdañski Matejki;0
2;P(5604);ZTM;Pruszcz Gdañski Chopina (n/¿);1
3;P(5602);ZTM;Pruszcz Gdañski Przemys³owa (n/¿);1
4;P(5226),S;ZTM;Pruszcz Gdañski Radunica (n/¿);2
5;P(175);ZTM;Œw. Wojciech (n/¿);1
6;P(1222);ZTM;Œw. Wojciech - Ostró¿ek (n/¿);2
7;P(1218);ZTM;Lipce - Niegowska (n/¿);2
8;P(1216);ZTM;Ukoœna (n/¿);1
9;P(1214);ZTM;Urz¹d Dozoru Technicznego (n/¿);1
10;P(1212);ZTM;Nowiny (n/¿);1
11;P(1210);ZTM;Goœcinna (n/¿);1
12;P(1208);ZTM;Rejtana (n/¿);1
13;P(1206);ZTM;Sandomierska  (n/¿);1
14;P(1028);ZTM;Brama Wy¿ynna;4
15;B,N,K0,P(1020);ZTM;Dworzec G³ówny;2
