N8;Flagi;Gmina;Nazwa;X0(00:00-29:59);
1;B,P(139);ZTM;Górki Zachodnie;0;
2;P(1066);ZTM;£owicka (n/¿);2;
3;P(1064);ZTM;£êczycka (n/¿);1;
4;P(1062);ZTM;Baza Manipulacyjna (n/¿);1;
5;P(1430);ZTM;Górecka (n/¿);1;
6;P(1060);ZTM;Kêpna (n/¿);1;
7;P(1058);ZTM;Steczka (n/¿);1;
8;P(1056);ZTM;Sówki (n/¿);1;
9;P(1054);ZTM;Nowotna (n/¿);1;
10;P(1052);ZTM;Zimna (n/¿);1;
11;P(1050);ZTM;Budzysza Elmont (n/¿);2;
12;P(1100);ZTM;Mostek (n/¿);5;
13;P(1042);ZTM;Brama ¯u³awska (n/¿);1;
14;P(1662);ZTM;Akademia Muzyczna (n/¿);1;
15;P(1038);ZTM;¯abi Kruk  (n/¿);2;
16;P(1030);ZTM;Brama Wy¿ynna;2;
17;B,N,K0,P(1020);ZTM;Dworzec G³ówny;2;
