112;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X14(00:00-29:59);
1;B,P(143);ZTM;Przegalina;0;0;0;0;0;0;0;0;0;
2;P(1156);ZTM;Przegaliñska;1;1;1;1;1;1;1;1;1;
3;P(1154);ZTM;Œwibnieñska;2;2;2;2;2;2;2;2;2;
4;P(1152);ZTM;Uzdrowiskowa;2;2;2;2;2;2;2;2;2;
5;P(1656);ZTM;Œwibnieñska - Sklep (n/¿);1;1;1;1;1;1;1;1;1;
6;P(1150);ZTM;Œwibno - Przychodnia (n/¿);0;0;0;0;0;0;0;0;0;
7;P(1148);ZTM;Przystañ;1;1;1;1;1;1;1;1;1;
8;P(1146);ZTM;Wêgorzowa;1;1;1;1;1;1;1;1;1;
9;P(1144);ZTM;Kempingowa;1;1;1;1;1;1;1;1;1;
10;P(1142);ZTM;Tra³owa - Szko³a;1;1;1;1;1;1;1;1;1;
11;P(1680);ZTM;Boguckiego (n/¿);1;1;1;1;1;1;1;1;1;
12;P(1140);ZTM;Kwiatowa;1;1;1;1;2;2;1;1;1;
13;P(1138);ZTM;Wieniec (n/¿);1;1;1;1;1;1;1;1;1;
14;P(1136);ZTM;Lazurowa;1;2;2;2;2;2;2;1;2;
15;P(1134);ZTM;Pole Namiotowe (n/¿);1;1;1;1;1;1;1;1;1;
16;P(1828);ZTM;Forsycji (n/¿);1;1;1;1;1;1;1;1;1;
17;P(1842);ZTM;Turystyczna (n/¿);0;0;0;0;0;0;0;0;0;
18;P(1132);ZTM;Kana³owa (n/¿);1;2;2;2;2;2;2;1;2;
19;P(1758);ZTM;Falowa (n/¿);1;1;1;1;1;1;1;1;1;
20;P(1130),S;ZTM;Sobieszewo Wyspa;1;1;2;1;1;1;1;1;1;
21;P(1128);ZTM;Sobieszewo Most (n/¿);2;2;2;2;2;2;2;2;2;
22;P(1126);ZTM;Wiœlinka Piaskowa (n/¿);1;1;1;1;1;1;1;1;1;
23;P(1124);ZTM;Wiœlinka Szkolna;2;3;3;3;3;3;2;2;2;
24;P(1122);ZTM;Bogatka I (n/¿);2;2;2;2;2;2;2;2;2;
25;P(1120);ZTM;Bogatka;1;1;1;1;1;1;1;1;1;
26;P(1712);ZTM;Bogatka II (n/¿);1;2;2;2;2;2;2;1;2;
27;P(1118);ZTM;Przejazdowo £¹kowa (n/¿);1;1;1;1;1;1;1;1;1;
28;P(1116);ZTM;Przejazdowo;1;2;2;2;2;2;2;1;1;
29;P(1114);ZTM;Przejazdowo Sezonowa (n/¿);1;1;1;1;1;1;1;1;1;
30;P(1112);ZTM;Dobrowo;2;2;2;2;2;2;2;1;2;
31;P(1110),S;ZTM;Rafineria;2;2;2;2;2;2;2;1;2;
32;P(1108);ZTM;Micha³ki Wiadukt (n/¿);1;1;1;1;1;1;1;1;1;
33;P(1106);ZTM;Tarcice;2;2;2;2;2;2;2;1;2;
34;P(1104);ZTM;B³onia;1;1;1;1;1;1;1;1;1;
35;P(1256);ZTM;Elbl¹ska - Wiadukt;1;1;1;1;1;1;1;1;1;
36;P(1102);ZTM;Mia³ki Szlak;1;1;1;1;1;1;1;1;1;
37;P(1100);ZTM;Mostek;1;1;1;1;1;1;1;1;1;
38;P(1042);ZTM;Brama ¯u³awska;1;2;2;2;2;2;2;1;1;
39;P(1662);ZTM;Akademia Muzyczna;1;1;1;1;1;1;1;1;1;
40;P(1038);ZTM;¯abi Kruk;2;2;2;2;2;2;2;2;2;
41;P(1030);ZTM;Brama Wy¿ynna;2;3;4;4;3;4;3;2;3;
42;B,N,K0,P(1022);ZTM;Dworzec G³ówny;2;2;2;2;2;2;2;2;2;
