117;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X4(00:00-29:59)
1;B,P(406);ZTM;Sopot Os. Przylesie;0;0;0
2;P(4054);ZTM;Sopot 23 Marca (n/¿);1;1;1
3;P(4052);ZTM;Sopot Okrê¿na (n/¿);1;1;1
4;P(4050);ZTM;Sopot Uniwersytet Gdañski;2;2;2
5;P(4048);ZTM;Sopot Sikorskiego;1;1;1
6;P(4002);ZTM;Sopot PKP - Niepodleg³oœci;2;3;2
7;P(4044);ZTM;Sopot 3 Maja;2;2;2
8;P(4042);ZTM;Sopot Reja;1;1;1
9;P(4040);ZTM;Sopot Smolna (n/¿);1;1;1
10;P(1540),S;ZTM;Czy¿ewskiego (n/¿);1;2;1
11;P(1538);ZTM;Bobrowa (n/¿);1;1;1
12;P(1536);ZTM;Cmentarz Oliwski;2;2;2
13;P(1504);ZTM;Cystersów;2;3;2
14;P(1534);ZTM;Oliwa Pêtla Tramwajowa;2;3;2
15;P(1532);ZTM;Droszyñskiego;2;2;
16;P(1530);ZTM;Poznañska (n/¿);1;1;
17;P(1528);ZTM;Piastowska;1;2;
18;P(1526);ZTM;Tysi¹clecia;1;1;
19;B,N,K0,P(122);ZTM;Jelitkowo Kapliczna;1;1;
