117;Flagi;Gmina;Nazwa;X2(00:00-29:59);X3(00:00-29:59)
1;B,P(1554);ZTM;Jelitkowo Kapliczna;0;0
2;P(1525);ZTM;Tysi¹clecia;2;2
3;P(1527);ZTM;Piastowska;1;2
4;P(1529);ZTM;Poznañska (n/¿);1;1
5;P(1531);ZTM;Droszyñskiego;1;1
6;P(1533);ZTM;Oliwa Pêtla Tramwajowa;3;4
7;P(1503);ZTM;Cystersów;3;3
8;P(1535);ZTM;Karpacka (Cm. Oliwski);3;4
9;P(1537);ZTM;Bobrowa (n/¿);1;1
10;P(4037),S;ZTM;Sopot Kasztanowa;2;2
11;P(4039);ZTM;Sopot Smolna (n/¿);1;1
12;P(4041);ZTM;Sopot Reja;1;2
13;P(4043);ZTM;Sopot 3 Maja;1;1
14;P(4045);ZTM;Sopot PKP;2;2
15;P(4047);ZTM;Sopot Sikorskiego;3;3
16;P(4049);ZTM;Sopot Uniwersytet Gdañski (n/¿);1;1
17;P(4051);ZTM;Sopot Okrê¿na (n/¿);2;2
18;P(4053);ZTM;Sopot 23 Marca (n/¿);1;1
19;B,N,K0,P(406);ZTM;Sopot Os. Przylesie;1;1
