130;Flagi;Gmina;Nazwa;X0(00:00-29:59);X4(00:00-29:59);
1;B,P(185);ZTM;Jasieñ PKM;0;0;
2;P(1874);ZTM;Jasieñska;2;2;
3;P(1872);ZTM;Staw Wróbla;1;1;
4;P(1850);ZTM;Zacna;2;2;
5;P(1848);ZTM;Wo³kowyska;1;1;
6;P(128);ZTM;Migowo;1;1;
7;P(1376);ZTM;Budapesztañska;1;1;
8;P(1374);ZTM;Warneñska;1;1;
9;P(1372);ZTM;Piecewska;1;2;
10;P(1338);ZTM;Kurpiñskiego;2;2;
11;P(1336);ZTM;Otwarta;1;1;
12;P(1334);ZTM;Wagnera;2;2;
13;P(1332);ZTM;Cygañska Góra;1;1;
14;P(1880);ZTM;Focha (n/¿);1;1;
15;P(1330);ZTM;P³owce;1;1;
16;P(1328);ZTM;Bema;1;1;
17;P(1260);ZTM;Urz¹d Miejski;2;2;
18;B,N,K0,P(9135);ZTM;Dworzec PKS;3;3;
