151;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X17(00:00-29:59);X18(00:00-29:59)
1;B,P(175);ZTM;Œw. Wojciech;;0;0;0;0;0;0;0;0;0;0;;0
2;P(1222);ZTM;Œw. Wojciech - Ostró¿ek;;2;2;2;2;2;2;2;2;2;2;;2
3;P(1218);ZTM;Lipce - Niegowska;;2;2;3;3;2;2;2;2;2;2;;2
4;P(1242);ZTM;Dwór Ferberów (n/¿);;1;1;1;1;1;1;1;1;1;1;;1
5;P(1216);ZTM;Ukoœna;;1;1;1;1;1;1;1;1;1;1;;1
6;P(1214);ZTM;Urz¹d Dozoru Technicznego;;1;1;2;2;1;1;1;1;1;1;;1
7;P(1212);ZTM;Nowiny;;1;1;1;1;1;1;1;1;1;1;;1
8;P(1210);ZTM;Goœcinna;0;1;1;1;1;1;1;1;1;1;1;0;1
9;P(1208);ZTM;Rejtana;1;1;2;2;2;2;2;2;1;1;1;1;1
10;P(1206);ZTM;Sandomierska;2;2;2;2;2;2;2;1;2;1;1;2;2
11;P(1204);ZTM;Zremb (n/¿);1;1;1;1;1;1;1;1;1;1;1;1;1
12;P(1202);ZTM;Elmet (n/¿);1;1;2;3;3;2;1;2;1;1;1;1;1
13;P(1200);ZTM;Zaroœlak (n/¿);1;1;2;3;3;2;1;1;1;1;1;1;1
14;P(1032);ZTM;Brama Wy¿ynna;3;3;4;5;5;4;3;4;3;2;2;2;2
15;P(1016);ZTM;Dworzec G³ówny;2;2;2;2;;;2;2;;;2;2;2
16;P(1020),1,I,H;ZTM;Dworzec G³ówny;;;;;2;2;;;2;2;;;
17;B,N,K0,P(1000);ZTM;Wa³y Piastowskie;1;1;1;1;;;1;1;;;1;1;1
