186;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X9(00:00-29:59)
1;B,P(142);ZTM;Górki Wschodnie;0;0;0;0;0
2;P(1180);ZTM;Ornitologów (n/¿);1;1;1;1;1
3;P(1178);ZTM;Nadwiœlañska (n/¿);1;1;1;1;1
4;P(1176);ZTM;Têczowa (n/¿);1;1;1;1;1
5;P(1764);ZTM;Sobieszewska (n/¿);1;1;1;1;1
6;P(1174);ZTM;Jodowa;0;0;0;0;0
7;P(1130),S;ZTM;Sobieszewo Wyspa;1;1;1;1;1
8;P(1128);ZTM;Sobieszewo Most (n/¿);2;2;2;2;2
9;P(1126);ZTM;Wiœlinka Piaskowa (n/¿);1;1;1;1;1
10;P(1172);ZTM;Wiœlinka Sportowa (n/¿);2;2;2;2;2
11;P(1170);ZTM;Wiœlinka Pocztowa;1;1;1;1;1
12;P(1168);ZTM;Wiœlinka Brzegowa (n/¿);1;1;1;1;1
13;P(1166),S;ZTM;Zagroble (n/¿);1;2;2;1;2
14;P(1164);ZTM;P³oñska - Skrzy¿. (n/¿);1;2;2;1;2
15;P(1162);ZTM;Naftowa;1;1;1;1;1
16;P(1160);ZTM;Oczyszczalnia (n/¿);2;2;2;2;2
17;P(1158),S;ZTM;Benzynowa (n/¿);1;1;1;1;1
18;P(1112);ZTM;Dobrowo;2;2;2;2;2
19;P(1110),S;ZTM;Rafineria;2;2;2;1;2
20;P(1108);ZTM;Micha³ki Wiadukt (n/¿);1;1;1;1;1
21;P(1106);ZTM;Tarcice;2;2;2;1;2
22;P(1104);ZTM;B³onia;1;1;1;1;1
23;P(1256);ZTM;Elbl¹ska - Wiadukt;1;1;1;1;1
24;P(1102);ZTM;Mia³ki Szlak;1;1;1;1;1
25;P(1100);ZTM;Mostek;1;1;1;1;1
26;P(1042);ZTM;Brama ¯u³awska;1;2;2;1;1
27;P(1662);ZTM;Akademia Muzyczna;1;1;1;1;1
28;P(1038);ZTM;¯abi Kruk;2;2;2;2;2
29;P(1030);ZTM;Brama Wy¿ynna;2;3;4;2;3
30;B,N,K0,P(1022);ZTM;Dworzec G³ówny;2;2;2;2;2
