189;Flagi;Gmina;Nazwa;X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);
1;B,P(1013);ZTM;Dworzec G³ówny;0;0;0;0;0;0;
2;P(1033);ZTM;Brama Wy¿ynna;2;2;3;3;2;2;
3;P(1201);ZTM;Zaroœlak (n/¿);2;2;2;3;2;2;
4;P(1203);ZTM;Elmet (n/¿);0;1;1;1;0;0;
5;P(1205);ZTM;Zremb (n/¿);1;1;1;1;1;1;
6;P(1207);ZTM;Sandomierska;1;1;1;1;1;1;
7;P(1209);ZTM;Rejtana;1;1;2;2;1;2;
8;P(1211);ZTM;Goœcinna;2;2;2;2;2;2;
9;P(1213);ZTM;Nowiny;1;1;1;1;1;1;
10;P(1215);ZTM;Ukoœna;2;2;2;2;1;2;
11;P(1235);ZTM;P D P S;2;2;2;2;2;2;
12;B,N,K0,P(133);ZTM;Maækowy Mleczarnia;3;3;3;3;3;3;
