99;Dni powszednie;#EEEEEE
05:05;X4;;
05:25;X4;;
05:35;X4;;
05:55;X4;;
06:05;X5;;
06:25;X5;;
06:35;X6;;
06:55;X6;;
07:05;X6;;
07:25;X6;;
07:35;X6;;
07:55;X6;;
08:05;X6;;
08:30;X7;;
08:45;X7;;
09:14;X7;;
09:44;X5;;
10:14;X5;;
10:44;X5;;
11:14;X5;;
11:44;X5;;
12:15;X5;;
12:45;X5;;
13:18;X5;;
13:48;X5;;
14:18;X5;;
14:41;X5;;
14:51;X5;;
15:11;X5;;
15:21;X5;;
15:41;X5;;
15:51;X5;;
16:11;X5;;
16:21;X5;;
16:41;X5;;
16:51;X5;;
17:10;X5;;
17:20;X5;;
17:40;X5;;
17:50;X5;;
18:03;X4;;
18:18;X4;;
18:28;X4;;
18:48;X4;;
19:18;X4;;
19:33;X4;;
19:48;X4;;
19:58;X4;;
20:08;X4;;
20:18;X4;;
20:33;X4;;
20:48;X4;;
21:03;X4;;
21:18;X4;;
21:33;X4;;
21:48;X4;;
22:03;X4;;
22:18;X4;;
22:33;X4;;
99;Soboty;#E6E6FA
05:19;X4;;
05:34;X4;;
05:49;X4;;
06:04;X4;;
06:19;X4;;
06:37;X4;;
06:50;X4;;
07:07;X4;;
07:20;X4;;
07:37;X4;;
07:50;X4;;
08:07;X4;;
08:20;X4;;
08:37;X4;;
08:50;X4;;
09:07;X4;;
09:20;X4;;
09:37;X4;;
09:59;X4;;
10:20;X4;;
10:30;X4;;
10:59;X4;;
11:09;X4;;
11:19;X4;;
11:29;X4;;
11:39;X4;;
11:59;X4;;
12:09;X4;;
12:19;X4;;
12:29;X4;;
12:39;X4;;
12:59;X4;;
13:09;X4;;
13:19;X4;;
13:29;X4;;
13:39;X4;;
13:59;X4;;
14:09;X4;;
14:19;X4;;
14:29;X4;;
14:39;X4;;
14:59;X4;;
15:09;X4;;
15:19;X4;;
15:29;X4;;
15:39;X4;;
15:59;X4;;
16:09;X4;;
16:19;X4;;
16:29;X4;;
16:39;X4;;
16:49;X4;;
16:59;X4;;
17:09;X4;;
17:19;X4;;
17:37;X4;;
17:49;X4;;
18:07;X4;;
18:19;X4;;
18:37;X4;;
18:49;X4;;
19:07;X4;;
19:19;X4;;
19:37;X4;;
19:49;X4;;
20:07;X4;;
20:20;X4;;
20:33;X4;;
20:50;X4;;
21:03;X4;;
21:21;X4;;
21:33;X4;;
21:48;X4;;
22:03;X4;;
22:18;X4;;
22:33;X4;;
99;Niedziele i œwiêta;#FFE4E1
05:20;X4;;
05:35;X4;;
05:50;X4;;
06:05;X4;;
06:20;X4;;
06:35;X4;;
06:50;X4;;
07:05;X4;;
07:20;X4;;
07:35;X4;;
07:50;X4;;
08:05;X4;;
08:20;X4;;
08:35;X4;;
08:50;X4;;
09:05;X4;;
09:20;X4;;
09:37;X4;;
09:59;X4;;
10:20;X4;;
10:30;X4;;
10:59;X4;;
11:09;X4;;
11:19;X4;;
11:29;X4;;
11:39;X4;;
11:59;X4;;
12:09;X4;;
12:19;X4;;
12:29;X4;;
12:39;X4;;
12:59;X4;;
13:09;X4;;
13:19;X4;;
13:29;X4;;
13:39;X4;;
13:59;X4;;
14:09;X4;;
14:19;X4;;
14:29;X4;;
14:39;X4;;
14:59;X4;;
15:09;X4;;
15:19;X4;;
15:29;X4;;
15:39;X4;;
15:59;X4;;
16:09;X4;;
16:19;X4;;
16:29;X4;;
16:39;X4;;
16:49;X4;;
16:59;X4;;
17:09;X4;;
17:19;X4;;
17:37;X4;;
17:49;X4;;
18:07;X4;;
18:19;X4;;
18:37;X4;;
18:49;X4;;
19:07;X4;;
19:19;X4;;
19:37;X4;;
19:49;X4;;
20:07;X4;;
20:20;X4;;
20:33;X4;;
20:50;X4;;
21:03;X4;;
21:20;X4;;
21:33;X4;;
21:48;X4;;
22:03;X4;;
22:18;X4;;
22:33;X4;;
