227;Flagi;Gmina;Nazwa;X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X16(00:00-29:59);X19(00:00-29:59);X20(00:00-29:59);X21(00:00-29:59);X22(00:00-29:59)
1;B,P(159);ZTM;Jelitkowo;;;;0;;0;;0;0;0;0;;;0;0
2;P(1487);ZTM;Pomorska;;0;;3;;3;0;3;3;3;3;0;0;3;3
3;P(1489);ZTM;Piastowska;;2;;2;;2;2;2;2;2;2;2;2;2;2
4;P(1456);ZTM;Czerwony Dwór;;1;;1;;2;2;2;2;2;1;1;1;2;1
5;P(1895);ZTM;Ch³opska - Obroñców Wybrze¿a;;1;;1;;1;1;1;1;1;1;1;1;1;1
6;P(1613);ZTM;Ko³obrzeska;;1;;1;;1;1;1;1;1;1;1;1;1;1
7;P(1767);ZTM;Startowa - Hynka;;2;;2;;2;2;2;2;2;2;2;2;2;2
8;P(124);ZTM;Zaspa SKM;;2;;2;;2;2;2;2;2;2;2;2;2;2
9;P(1727);ZTM;SDO "Z³ota Jesieñ" (n/¿);;1;;1;;1;1;1;1;1;1;1;1;1;1
10;P(1737);ZTM;Skar¿yñskiego;;1;;1;;1;1;1;1;1;1;1;1;1;1
11;P(1383);ZTM;Galeria Ba³tycka;0;2;0;2;;2;2;2;3;3;2;2;2;2;2
12;P(1923);ZTM;Zabytkowa;2;2;2;2;;2;2;3;4;3;2;2;2;2;2
13;P(1925);ZTM;Srebrzysko;1;1;1;1;;1;1;1;1;1;1;1;1;1;1
14;P(1389);ZTM;Trawki (n/¿);1;1;1;1;;1;1;1;1;1;1;1;1;1;1
15;P(1431);ZTM;Potokowa;2;2;2;2;;2;2;2;3;2;2;2;2;3;2
16;P(1433);ZTM;Ogrodowa (n/¿);1;1;1;1;;2;2;2;2;2;1;1;1;2;1
17;P(1379);ZTM;Brêtowo PKM;1;1;1;1;;1;1;1;1;1;1;1;1;1;1
18;P(1381);ZTM;Kolumba;1;1;1;1;;1;1;1;1;1;1;1;1;1;1
19;P(1374);ZTM;Warneñska;1;1;1;1;;1;1;1;1;1;1;2;1;1;1
20;P(1726);ZTM;Belgradzka (n/¿);1;1;1;1;;1;1;1;1;1;1;1;1;1;1
21;P(1724);ZTM;Piekarnicza;1;1;1;1;;1;1;1;1;1;1;1;1;1;1
22;P(1346);ZTM;Nowolipie (n/¿);1;1;1;1;;1;1;1;1;1;1;1;1;1;1
23;P(162),1,I;ZTM;Siedlce;;;;;0;;;;;;;;;;
24;P(1309);ZTM;Emaus;1;1;2;2;2;2;2;2;2;2;2;1;2;2;1
25;P(1311);ZTM;Cmentarz £ostowicki;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
26;P(1246);ZTM;Cieszyñskiego;2;2;3;3;3;3;3;3;3;3;3;2;3;3;2
27;P(1780);ZTM;Sikorskiego;2;2;3;3;3;3;3;3;3;3;2;2;3;3;2
28;B,N,K0,P(334);ZTM;Che³m Cienista;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
