N13;Flagi;Gmina;Nazwa;X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59)
1;B,P(121);ZTM;¯abianka SKM;;0;0;0
2;P(1570);ZTM;Pomorska - Osiedle (n/¿);;2;2;2
3;P(1487);ZTM;Pomorska (n/¿);;1;1;1
4;P(1489);ZTM;Piastowska (n/¿);;1;1;1
5;P(1456);ZTM;Czerwony Dwór (n/¿);;1;1;1
6;P(1471);ZTM;Ch³opska  (n/¿);;2;2;2
7;P(1473);ZTM;Obroñców Wybrze¿a  (n/¿);;1;1;1
8;P(1475);ZTM;Przymorze Wielkie (n/¿);0;1;1;1
9;P(1461);ZTM;D¹browszczaków - Obr. Wybrz. (n/¿);1;1;1;1
10;P(1463);ZTM;Olsztyñska (n/¿);1;1;1;1
11;P(1465);ZTM;Opolska (n/¿);1;1;1;1
12;P(1467);ZTM;Rzeczypospolitej - Ko³obrzeska (n/¿);1;1;1;1
13;P(1469);ZTM;Krynicka (n/¿);1;1;1;1
14;P(1791);ZTM;Przymorze SKM (n/¿);1;1;1;1
15;P(4012);ZTM;Ba¿yñskiego (n/¿);2;2;2;2
16;P(1623);ZTM;Uniwersytet (n/¿);1;1;1;1
17;P(1625);ZTM;Strzy¿a PKM (n/¿);1;1;1;1
18;P(1607);ZTM;Zajezdnia (n/¿);0;0;0;0
19;P(1627);ZTM;Zamenhofa (n/¿);1;1;1;1
20;P(1629);ZTM;Wojska Polskiego (n/¿);1;1;1;1
21;P(1631);ZTM;Galeria Ba³tycka (n/¿);2;2;2;2
22;P(1593);ZTM;Jaœkowa Dolina (n/¿);2;2;2;
23;P(1595);ZTM;Teatr Miniatura / Radio Gdañsk (n/¿);2;2;2;
24;P(1597);ZTM;Opera Ba³tycka (n/¿);1;1;1;
25;P(1599);ZTM;Uniwersytet Medyczny (n/¿);2;2;2;
26;P(1013);ZTM;Dworzec G³ówny;9;9;9;
27;P(1033);ZTM;Brama Wy¿ynna;2;2;2;
28;P(1249);ZTM;Pohulanka (Armii Krajowej) (n/¿);2;2;2;
29;P(1251);ZTM;Odrzañska (n/¿);1;1;1;
30;P(1253);ZTM;Drwêcka (n/¿);1;1;1;
31;P(1255);ZTM;Cha³ubiñskiego (n/¿);1;1;1;
32;P(1753);ZTM;Che³m Witosa (n/¿);2;2;2;
33;P(1717);ZTM;Cieszyñskiego (n/¿);1;1;1;
34;P(1980);ZTM;Wilanowska (n/¿);2;2;2;
35;P(1979);ZTM;Wilanowska (n/¿);2;2;2;
36;P(1315);ZTM;Przemyska (n/¿);1;1;1;
37;P(1317);ZTM;P³ocka (n/¿);1;1;1;
38;P(1319);ZTM;£ódzka (n/¿);2;2;2;
39;P(1321);ZTM;Niepo³omicka (n/¿);1;1;1;
40;P(183);ZTM;Kampinoska (n/¿);3;3;;
41;P(1856);ZTM;Kolorowa (n/¿);2;2;;
42;P(1756);ZTM;Srebrna (n/¿);1;1;;
43;P(1322);ZTM;Przebiœniegowa (n/¿);1;1;;
44;P(1799);ZTM;Liliowa (n/¿);1;1;2;
45;P(1901);ZTM;Hokejowa (n/¿);1;1;1;
46;B,N,K0,P(184);ZTM;Olimpijska;2;2;2;
