2;Flagi;Gmina;Nazwa;X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X16(00:00-29:59);X17(00:00-29:59);X20(00:00-29:59)
1;B,P(2045);ZTM;Oliwa;;0;;0;0;;0;
2;P(2047);ZTM;Opacka;;2;;2;2;;2;
3;P(2049);ZTM;Subis³awa;;2;;2;2;;2;
4;P(2051);ZTM;Pomorska - Osiedle;;2;;2;2;;2;
5;P(201),1,I,B;ZTM;Jelitkowo;;;;;;0;;
6;P(2058),1,I;ZTM;Helska;;;;;;2;;
7;P(2056),1,I;ZTM;Os. Wejhera;;;;;;2;;
8;P(2100);ZTM;Pomorska;;2;;2;2;1;2;
9;P(2098);ZTM;Piastowska;;1;;1;1;1;1;
10;P(2096);ZTM;Jagielloñska;;2;;2;2;2;2;
11;P(2094);ZTM;Ch³opska - Obroñców Wybrze¿a;;1;;1;1;1;1;
12;P(2092);ZTM;Ko³obrzeska;;1;;1;1;1;1;
13;P(2090);ZTM;Zaspa;;2;;2;2;2;2;
14;P(2088);ZTM;Startowa;;1;;1;1;1;1;
15;P(2086);ZTM;Jana Paw³a II;;1;;1;1;1;1;
16;P(2084);ZTM;¯wirki i Wigury;;1;;1;1;1;1;
17;P(2082);ZTM;Bajana;;1;;1;1;1;1;
18;P(2080);ZTM;Legionów;;2;;2;2;2;2;
19;P(2078);ZTM;Plac Komorowskiego;;1;;1;1;1;1;
20;P(2076);ZTM;Mickiewicza;;2;;2;2;2;1;
21;P(2074);ZTM;Reja;;1;;1;1;1;1;
22;P(2072);ZTM;Wyspiañskiego;;2;;2;2;2;2;
23;P(213),1,I,H;ZTM;Strzy¿a PKM;0;;0;;;;;0
24;P(2030),1,I,H;ZTM;Zajezdnia;1;;1;;;;;1
25;P(2028),1,I,H;ZTM;Zamenhofa;1;;1;;;;;1
26;P(2026),1,I,H;ZTM;Wojska Polskiego;1;;1;;;;;1
27;P(2024),1,I,H;ZTM;Galeria Ba³tycka;2;;2;;;;;2
28;P(2022),1,I,H;ZTM;Klonowa;1;;2;;;;;1
29;P(2020),1,I,H;ZTM;Jaœkowa Dolina;2;;2;;;;;2
30;P(2018),1,I,H;ZTM;Miszewskiego;2;;2;;;;;1
31;P(2016),1,I,H;ZTM;Politechnika;1;;1;;;;;1
32;P(2014);ZTM;Opera Ba³tycka;2;2;2;3;3;3;2;2
33;P(2012);ZTM;Traugutta;2;2;2;2;2;2;2;2
34;P(2010);ZTM;Uniwersytet Medyczny;1;1;1;1;1;1;1;1
35;P(2008);ZTM;Chodowieckiego;1;1;1;1;1;1;1;1
36;P(2006);ZTM;Brama Oliwska;1;1;1;1;1;1;1;1
37;P(2002);ZTM;Dworzec G³ówny;2;2;2;2;;2;2;2
38;P(2101);ZTM;Brama Wy¿ynna;2;2;2;2;;2;2;2
39;P(2207);ZTM;Œródmieœcie SKM;2;2;2;2;;2;2;2
40;P(2136),1,I;ZTM;Dworzec PKS;;;;;2;;;
41;P(2132),1,I;ZTM;Nowe Ogrody;;;;;2;;;
42;P(2211);ZTM;Pohulanka (Armii Krajowej);2;2;2;2;3;2;2;2
43;P(2213);ZTM;Odrzañska;1;1;1;1;1;1;1;1
44;P(2215);ZTM;Cha³ubiñskiego;2;2;2;2;2;2;2;2
45;P(2217);ZTM;Sikorskiego;1;1;1;1;1;1;1;1
46;P(2221);ZTM;Cieszyñskiego;2;2;2;2;2;2;2;2
47;P(2223);ZTM;Cebertowicza;1;1;1;1;1;1;1;1
48;P(2225);ZTM;Wilanowska;2;2;2;2;2;2;2;2
49;P(2227);ZTM;Przemyska;1;1;1;1;1;1;1;1
50;P(2229);ZTM;P³ocka;1;1;1;1;1;1;1;1
51;B,N,K0,P(2231);ZTM;£ostowice Œwiêtokrzyska;2;2;2;2;2;2;2;2
