7;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X6(00:00-29:59)
1;B,P(2030),1,I,H;ZTM;Zajezdnia;0;;;;;
2;P(2028),1,I,H;ZTM;Zamenhofa;1;;;;;
3;P(2026),1,I,H;ZTM;Wojska Polskiego;1;;;;;
4;P(2024),1,I,H;ZTM;Galeria Ba³tycka;2;;;;;
5;P(2022),1,I,H;ZTM;Klonowa;1;;;;;
6;P(2020),1,I,H;ZTM;Jaœkowa Dolina;2;;;;;
7;P(2018),1,I,H;ZTM;Miszewskiego;2;;;;;
8;P(2016),1,I,H;ZTM;Politechnika;1;;;;;
9;P(2070),1,I,H;ZTM;Kliniczna - Szpital;4;;;;;
10;B,P(221);ZTM;£ostowice Œwiêtokrzyska;;0;0;0;0;
11;P(2230);ZTM;P³ocka;;2;2;2;2;
12;P(2228);ZTM;Przemyska;;2;2;2;2;
13;P(2226);ZTM;Wilanowska;;1;1;1;1;
14;P(2224);ZTM;Cebertowicza;;2;2;2;2;
15;P(2222);ZTM;Cieszyñskiego;;1;1;1;1;
16;P(2218);ZTM;Sikorskiego;;2;2;2;2;
17;P(2216);ZTM;Cha³ubiñskiego;;2;2;2;2;
18;P(2214);ZTM;Odrzañska;;2;2;2;2;
19;P(2212);ZTM;Pohulanka (Armii Krajowej);;1;1;1;1;
20;P(2208);ZTM;Œródmieœcie SKM;;2;2;2;2;
21;P(2102);ZTM;Brama Wy¿ynna;;2;2;2;2;
22;P(2001);ZTM;Dworzec G³ówny;;2;2;2;2;
23;P(2061);ZTM;Pl. Solidarnoœci;;2;3;3;;
24;P(2063);ZTM;Stocznia SKM;;2;2;2;;
25;P(2065);ZTM;Stocznia Pó³nocna;;2;2;2;;
26;P(2067);ZTM;Twarda;;1;1;1;;
27;P(2153);ZTM;Wêze³ Kliniczna;2;1;1;1;;
28;P(2155);ZTM;Swojska;1;1;2;2;;
29;P(2157);ZTM;¯aglowa - AmberExpo;2;2;2;2;;
30;P(2159);ZTM;Mostostal;1;1;1;1;;
31;P(2161);ZTM;PGE ARENA Gdañsk;2;2;2;2;;
32;P(2163);ZTM;Œnie¿na;1;1;1;1;;
33;P(2165);ZTM;Wyzwolenia - Mar. Polskiej;2;2;2;2;;
34;P(2167);ZTM;Pl. Wolnoœci;1;1;1;1;;
35;P(2169),1,I;ZTM;W³adys³awa IV;1;;1;;;2
36;B,P(209),H;ZTM;Nowy Port (Oliwska);1;;;;;1
37;B,N,K0,P(2168);ZTM;Zajezdnia Nowy Port (dla wysiad.);;0;;0;;
38;P(2005),1,I,H;ZTM;Brama Oliwska;;;;;2;
39;P(2007),1,I,H;ZTM;Chodowieckiego;;;;;1;
40;P(2009),1,I,H;ZTM;Uniwersytet Medyczny;;;;;1;
41;P(2011),1,I,H;ZTM;Traugutta;;;;;2;
42;P(2015),1,I,H;ZTM;Opera Ba³tycka;;;;;2;
43;P(2017),1,I,H;ZTM;Politechnika;;;;;1;
44;P(2019),1,I,H;ZTM;Miszewskiego;;;;;1;
45;P(2021),1,I,H;ZTM;Jaœkowa Dolina;;;;;2;
46;P(2023),1,I,H;ZTM;Klonowa;;;;;2;
47;P(2025),1,I,H;ZTM;Galeria Ba³tycka;;;;;2;
48;P(2027),1,I,H;ZTM;Wojska Polskiego;;;;;2;
49;P(2029),1,I,H;ZTM;Zamenhofa;;;;;1;
50;P(2031),1,I,H;ZTM;Zajezdnia;;;;;1;
51;B,N,K,P(213),1,I,H;ZTM;Strzy¿a PKM;;;;;1;
