N4;Flagi;Gmina;Nazwa;X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59)
1;B,P(1964);ZTM;Rêbowo;;0;;0;0
2;P(1854);ZTM;Czermiñskiego (n/¿);;1;;1;1
3;P(1686);ZTM;Przywidzka (n/¿);;1;;1;1
4;P(1684);ZTM;Szadó³ki (n/¿);;1;;1;1
5;P(1968);ZTM;Leszczynowa (n/¿);;1;;1;1
6;P(1970);ZTM;Lawendowe Wzgórze (n/¿);;1;;1;1
7;P(168);ZTM;Ujeœcisko;;3;0;3;3
8;P(1312);ZTM;Kielecka (n/¿);;1;1;1;1
9;P(1315);ZTM;Przemyska (n/¿);;1;1;1;1
10;P(1866);ZTM;P³ocka (n/¿);;2;2;2;2
11;P(1864);ZTM;Rogaliñska (n/¿);;1;1;1;1
12;P(1862);ZTM;Osiedle Jary (n/¿);;1;1;1;1
13;P(1246);ZTM;Cieszyñskiego (n/¿);;2;2;2;2
14;P(1780);ZTM;Sikorskiego (n/¿);;1;1;1;1
15;P(130);ZTM;Che³m Cienista (n/¿);;1;1;1;1
16;P(1252);ZTM;Buczka (n/¿);;1;1;1;1
17;P(1240);ZTM;Reformacka (n/¿);;1;1;1;1
18;P(1238);ZTM;Cmentarna (n/¿);;1;1;1;1
19;P(1236);ZTM;Zaroœlak (n/¿);;1;1;1;1
20;P(1032);ZTM;Brama Wy¿ynna;;2;2;2;2
21;P(1014);ZTM;Dworzec G³ówny;;9;9;9;2
22;P(1600);ZTM;Uniwersytet Medyczny (n/¿);;3;3;3;
23;P(1598);ZTM;Opera Ba³tycka (n/¿);;2;2;2;
24;P(1596);ZTM;Teatr Miniatura / Radio Gdañsk (n/¿);;2;2;2;
25;P(1594);ZTM;Dmowskiego (n/¿);;2;2;2;
26;P(1636);ZTM;Galeria Ba³tycka (n/¿);0;2;2;2;
27;P(1632);ZTM;Wojska Polskiego (n/¿);2;2;2;2;
28;P(1630);ZTM;Zamenhofa (n/¿);1;1;1;1;
29;P(1608);ZTM;Zajezdnia (n/¿);1;1;1;1;
30;P(1628);ZTM;Strzy¿a PKM (n/¿);1;1;1;1;
31;P(1626);ZTM;Uniwersytet (n/¿);2;2;2;;
32;P(1624);ZTM;Ba¿yñskiego (n/¿);1;1;1;;
33;P(1622);ZTM;Obroñców Westerplatte (n/¿);2;2;2;;
34;P(1534);ZTM;Oliwa Pêtla Tramwajowa (n/¿);2;2;2;;
35;P(1532);ZTM;Droszyñskiego (n/¿);1;1;1;;
36;P(1530);ZTM;Poznañska (n/¿);1;1;1;;
37;P(1528);ZTM;Piastowska (n/¿);2;2;2;;
38;P(1526);ZTM;Tysi¹clecia (n/¿);1;1;1;;
39;P(1553);ZTM;Jelitkowo Kapliczna (n/¿);1;1;1;;
40;B,N,K0,P(1555);ZTM;Pomorska - Kapliczna (n/¿);1;1;1;;
