99;Dni powszednie;#EEEEEE
04:32;X7;;
04:50;X7;;
05:06;X7;;
05:21;X7;;
05:36;X7;;
05:41;X7;;
05:54;X7;;
06:09;X7;;
06:24;X7;;
06:39;X8;;
06:53;X8;;
07:08;X8;;
07:23;X8;;
07:38;X8;;
08:06;X8;;
08:26;X8;;
08:46;X8;;
09:06;X9;;
09:26;X9;;
09:46;X9;;
10:06;X9;;
10:26;X9;;
10:46;X9;;
11:06;X9;;
11:26;X9;;
11:46;X9;;
12:06;X9;;
12:26;X9;;
12:46;X9;;
13:06;X9;;
13:26;X9;;
13:46;X9;;
14:08;X10;;
14:23;X10;;
14:38;X10;;
14:53;X10;;
15:08;X10;;
15:23;X10;;
15:38;X10;;
15:53;X10;;
16:08;X10;;
16:23;X10;;
16:38;X10;;
16:53;X10;;
17:08;X10;;
17:28;X10;;
17:48;X10;;
18:07;X9;;
18:27;X9;;
18:47;X9;;
19:07;X9;;
19:27;X9;;
19:47;X9;;
20:17;X9;;
20:47;X9;;
21:16;X11;;
21:46;X11;;
22:31;X11;;
99;Soboty, niedziele i œwiêta;#FFE4E1
04:36;X7;;
04:56;X7;;
05:16;X7;;
05:46;X7;;
06:16;X7;;
06:46;X7;;
07:16;X7;;
07:46;X7;;
08:16;X7;;
08:46;X7;;
09:16;X9;;
09:46;X9;;
10:16;X9;;
10:46;X9;;
11:16;X9;;
11:46;X9;;
12:16;X9;;
12:46;X9;;
13:16;X9;;
13:46;X9;;
14:16;X9;;
14:46;X9;;
15:16;X9;;
15:46;X9;;
16:16;X9;;
16:46;X9;;
17:16;X9;;
17:46;X9;;
18:16;X9;;
18:46;X9;;
19:16;X9;;
19:46;X9;;
20:16;X9;;
20:46;X9;;
21:16;X11;;
21:46;X11;;
22:31;X11;;
