127;Flagi;Gmina;Nazwa;X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X16(00:00-29:59);X17(00:00-29:59);X18(00:00-29:59);X19(00:00-29:59);X20(00:00-29:59);X21(00:00-29:59);X22(00:00-29:59);X27(00:00-29:59);X28(00:00-29:59);X29(00:00-29:59);X30(00:00-29:59);X31(00:00-29:59);X32(00:00-29:59);X33(00:00-29:59)
1;B,P(118);ZTM;Oliwa PKP;;0;0;0;0;0;0;0;0;0;0;;;0;0;;0;
2;P(1741);ZTM;Beniowskiego (n/¿);;1;1;1;1;1;1;1;1;1;1;;;1;1;;1;
3;P(1453);ZTM;Bora Komorowskiego;;2;2;2;2;2;2;2;2;2;2;;;2;2;;2;
4;P(1471);ZTM;Ch³opska;;1;1;1;1;1;1;1;1;1;1;;;1;1;;1;
5;P(1473);ZTM;Obroñców Wybrze¿a;;1;1;1;1;1;1;1;1;1;1;;;1;1;;1;
6;P(1475);ZTM;Przymorze Wielkie;;1;1;1;2;2;1;2;1;1;1;;;1;1;;1;
7;P(1448),1,I,H;ZTM;Czarny Dwór;;;;;;2;2;;;;;;;;;;;
8;P(1477);ZTM;Czarny Dwór;0;2;2;2;2;;;2;2;2;2;;0;2;2;;2;0
9;P(1479);ZTM;Zaspa - Szpital;2;2;2;2;2;;;2;2;2;2;;2;2;2;;2;2
10;P(1481);ZTM;Leszczyñskich;1;1;1;1;1;;;1;1;1;1;;1;1;1;;1;1
11;P(1483);ZTM;Rzeczypospolitej;1;1;1;1;1;;;1;1;1;1;;1;1;1;;1;1
12;P(1485);ZTM;Pilotów;2;2;2;2;2;;;2;2;2;2;;2;2;2;;2;2
13;P(124);ZTM;Zaspa SKM;1;1;2;2;2;;;2;2;2;1;;1;1;2;;1;2
14;P(1727);ZTM;SDO "Z³ota Jesieñ" (n/¿);1;1;1;1;1;;;1;1;1;0;;0;0;0;;0;0
15;P(1755);ZTM;Rozstaje;2;2;2;2;2;;;2;2;2;2;;2;2;2;;2;2
16;P(1739);ZTM;Kiliñskiego;2;2;2;2;2;;;2;2;2;2;0;2;2;2;0;2;2
17;P(1631);ZTM;Galeria Ba³tycka;3;3;3;4;4;;;5;5;3;2;2;2;2;3;3;2;3
18;P(1345);ZTM;Jaœkowa Dolina;2;2;3;3;3;;;4;3;3;2;2;2;2;3;3;2;3
19;P(1725);ZTM;Sobótki (n/¿);1;1;1;1;2;;;3;2;1;1;0;0;0;1;1;1;1
20;P(1361);ZTM;Na Wzgórzu;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1
21;P(1363);ZTM;Falista (n/¿);1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1
22;P(1365);ZTM;Strzelnica (n/¿);1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1
23;P(1367);ZTM;Dobrowolskiego;1;1;1;2;2;;;2;2;2;1;2;2;2;2;2;2;2
24;P(1369);ZTM;Piecewska;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1
25;P(1371);ZTM;Warneñska;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1
26;P(1373);ZTM;Budapesztañska;2;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2
27;P(1777);ZTM;Migowo;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1
28;P(1849);ZTM;Wo³kowyska;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1
29;P(1851);ZTM;Zacna;2;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2
30;P(1853);ZTM;Staw Wróbla;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1
31;P(1871);ZTM;Jasieñska;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1
32;B,N,K0,P(185);ZTM;Jasieñ PKM;2;2;2;2;2;;;2;2;2;2;1;1;1;1;1;1;1
