99;Dni powszednie - okres nauki szkolnej;#EEEEEE
05:00;X0;;
05:20;X0;;
05:35;X0;;
05:50;X0;;
05:58;X0;;
06:06;X0;;
06:14;X0;;
06:21;X0;;
06:29;X0;;
06:36;X1;;
06:44;X1;;
06:51;X1;;
06:59;X1;;
07:06;X2;;
07:14;X2;;
07:21;X2;;
07:29;X2;;
07:36;X2;;
07:44;X2;;
07:51;X2;;
07:59;X2;;
08:06;X2;;
08:14;X2;;
08:21;X2;;
08:25;X2;;
08:33;X3;;
08:41;X3;;
08:51;X3;;
09:08;X4;;
09:23;X4;;
09:38;X0;;
09:53;X0;;
10:08;X5;;
10:23;X5;;
10:38;X0;;
10:53;X5;;
11:08;X0;;
11:23;X0;;
11:38;X5;;
11:53;X5;;
12:08;X0;;
12:23;X0;;
12:38;X5;;
12:53;X0;;
13:08;X0;;
13:23;X3;;
13:33;X3;;
13:43;X3;;
13:53;X3;;
14:01;X3;;
14:08;X3;;
14:16;X3;;
14:23;X3;;
14:31;X6;;
14:38;X6;;
14:46;X6;;
14:55;X6;;
15:03;X6;;
15:10;X6;;
15:18;X6;;
15:25;X6;;
15:33;X6;;
15:40;X6;;
15:48;X6;;
15:55;X7;;
16:03;X6;;
16:10;X6;;
16:18;X6;;
16:25;X6;;
16:33;X6;;
16:40;X6;;
16:48;X6;;
16:56;X6;;
17:03;X3;;
17:10;X3;;
17:18;X3;;
17:25;X4;;
17:33;X3;;
17:43;X4;;
17:53;X3;;
18:03;X0;;
18:13;X5;;
18:23;X5;;
18:39;X0;;
18:53;X0;;
19:08;X0;;
19:22;X0;;
19:37;X0;;
19:53;X0;;
20:08;X0;;
20:23;X0;;
20:39;X8;;
20:53;X9;;
21:09;X9;;
21:23;X9;;
21:39;X9;;
21:54;X8;;
22:09;X8;;
22:23;X8;;
22:43;X8;;
99;Dni powszednie - ferie i wakacje;#EEEEEE
05:03;X0;;
05:23;X0;;
05:38;X0;;
05:53;X0;;
06:03;X0;;
06:13;X0;;
06:23;X0;;
06:33;X1;;
06:43;X1;;
06:53;X1;;
07:03;X1;;
07:13;X1;;
07:23;X1;;
07:33;X1;;
07:43;X1;;
07:53;X1;;
08:03;X1;;
08:13;X1;;
08:23;X1;;
08:33;X3;;
08:43;X3;;
08:53;X3;;
09:08;X4;;
09:23;X4;;
09:38;X0;;
09:53;X0;;
10:08;X5;;
10:23;X5;;
10:38;X5;;
10:53;X5;;
11:08;X0;;
11:23;X0;;
11:38;X5;;
11:53;X5;;
12:08;X0;;
12:23;X0;;
12:38;X0;;
12:53;X0;;
13:08;X0;;
13:23;X3;;
13:36;X3;;
13:46;X3;;
13:56;X3;;
14:06;X3;;
14:16;X3;;
14:26;X3;;
14:36;X6;;
14:46;X6;;
14:58;X6;;
15:08;X6;;
15:18;X6;;
15:28;X6;;
15:38;X6;;
15:48;X6;;
15:58;X6;;
16:08;X6;;
16:18;X6;;
16:28;X6;;
16:38;X6;;
16:48;X6;;
16:58;X6;;
17:08;X4;;
17:18;X3;;
17:25;X4;;
17:35;X3;;
17:45;X4;;
17:52;X19;;
18:05;X5;;
18:12;X20;;
18:25;X5;;
18:39;X5;;
18:54;X5;;
19:09;X0;;
19:24;X0;;
19:39;X5;;
19:51;X20;;
20:09;X0;;
20:24;X0;;
20:36;X8;;
20:54;X9;;
21:09;X9;;
21:24;X9;;
21:39;X9;;
21:51;X8;;
22:09;X8;;
22:21;X8;;
22:43;X8;;
99;Soboty, niedziele i œwiêta;#FFE4E1
05:15;X9;;
05:42;X9;;
06:03;X9;;
06:23;X9;;
06:43;X9;;
07:04;X0;;
07:25;X0;;
07:45;X0;;
08:06;X0;;
08:24;X0;;
08:39;X0;;
08:54;X0;;
09:09;X5;;
09:24;X5;;
09:39;X0;;
09:54;X0;;
10:09;X5;;
10:24;X5;;
10:39;X5;;
10:54;X5;;
11:09;X0;;
11:24;X0;;
11:39;X5;;
11:54;X5;;
12:09;X0;;
12:24;X0;;
12:39;X0;;
12:54;X0;;
13:09;X0;;
13:24;X0;;
13:39;X0;;
13:54;X0;;
14:09;X0;;
14:24;X0;;
14:39;X0;;
14:54;X0;;
15:09;X0;;
15:24;X0;;
15:39;X0;;
15:54;X0;;
16:09;X5;;
16:24;X0;;
16:39;X5;;
16:54;X0;;
17:09;X5;;
17:24;X0;;
17:39;X5;;
17:54;X0;;
18:09;X0;;
18:23;X5;;
18:38;X0;;
18:54;X5;;
19:09;X0;;
19:23;X5;;
19:38;X0;;
19:54;X5;;
20:09;X20;;
20:24;X0;;
20:39;X8;;
20:54;X9;;
21:09;X9;;
21:24;X9;;
21:39;X9;;
21:54;X8;;
22:09;X8;;
22:24;X8;;
22:43;X8;;
