162;Flagi;Gmina;Nazwa;X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);
1;B,P(115);ZTM;Wrzeszcz PKP;;0;0;0;0;
2;P(1345);ZTM;Jaœkowa Dolina;;3;3;3;3;
3;P(1725);ZTM;Sobótki (n/¿);;0;1;2;1;
4;P(1361);ZTM;Na Wzgórzu;;1;1;1;1;
5;P(1363);ZTM;Falista (n/¿);;1;1;1;1;
6;P(1365);ZTM;Strzelnica (n/¿);;1;1;1;1;
7;P(1367);ZTM;Dobrowolskiego;;2;2;2;2;
8;P(1369);ZTM;Piecewska;;1;1;1;1;
9;P(1726);ZTM;Belgradzka (n/¿);;1;1;1;1;
10;P(1724);ZTM;Piekarnicza;;1;1;1;1;
11;P(1346);ZTM;Nowolipie (n/¿);;1;1;1;1;
12;P(1309);ZTM;Emaus;;1;1;1;1;
13;P(1311);ZTM;Cmentarz £ostowicki;;2;2;2;2;
14;P(1979);ZTM;Wilanowska;;1;2;2;2;
15;P(1315);ZTM;Przemyska;;1;1;1;1;
16;P(1317);ZTM;P³ocka;;1;1;1;1;
17;P(191);ZTM;£ostowice Œwiêtokrzyska;;2;2;2;2;
18;P(1743);ZTM;Œwiêtokrzyska (n/¿);;1;1;1;1;
19;P(1231);ZTM;Platynowa;0;1;2;2;1;
20;P(1579);ZTM;Krzemowa;1;1;1;1;1;
21;P(1233);ZTM;Uranowa;1;1;1;1;1;
22;B,N,K0,P(132);ZTM;Orunia Górna;1;1;1;1;1;
