167;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X10(00:00-29:59);
1;B,P(1658);ZTM;Bysewo;0;0;0;;
2;P(1300);ZTM;Bysewska (n/ø);1;1;1;;
3;P(1298);ZTM;Centrostal (n/ø);1;1;1;;
4;P(1296);ZTM;Unimor (n/ø);1;1;1;;
5;P(1292);ZTM;Kokoszki - Poczta;1;1;1;;
6;P(1290);ZTM;NowatorÛw;2;2;3;0;
7;P(1288);ZTM;TransportowcÛw;1;1;3;1;
8;P(1703);ZTM;Kartuska (n/ø);1;1;3;1;
9;P(1286);ZTM;Fabryczna;1;1;4;1;
10;P(1284);ZTM;Inøynierska (n/ø);1;1;1;1;
11;P(1282);ZTM;Karczemki;2;2;2;2;
12;P(1929);ZTM;Przytulna;4;4;4;4;
13;P(1931);ZTM;SzczÍúliwa;1;1;1;1;
14;P(1280);ZTM;WÍze≥ Karczemki;1;1;1;1;
15;P(1720);ZTM;Øyczliwa (n/ø);1;1;1;1;
16;P(1278);ZTM;JasieÒ - Dzia≥ki (n/ø);1;1;1;1;
17;P(1258);ZTM;èrÛdlana (n/ø);2;2;2;2;
18;P(1276);ZTM;Zwierzyniecka;0;0;0;0;
19;P(1274);ZTM;Damroki;1;1;1;1;
20;P(1272);ZTM;Lipowa;2;2;3;2;
21;P(1270);ZTM;Myúliwska;1;2;1;1;
22;P(1268);ZTM;PagÛrkowa;1;2;1;1;
23;P(1266);ZTM;Zielony Stok;1;2;1;1;
24;P(1264);ZTM;Emaus;1;2;2;1;
25;B,N,K0,P(362);ZTM;Siedlce;1;1;1;1;
