99;Dni powszednie;#EEEEEE
05:09;X0;;
05:45;X1;;
06:15;X1;;
06:45;X1;;
07:15;X2;;
07:40;X2;;
08:12;X2;;
08:52;X2;;
09:32;X1;;
10:12;X1;;
10:52;X1;;
11:31;X1;;
12:11;X1;;
12:51;X1;;
13:45;X1;;
14:15;X1;;
14:45;X2;;
15:19;X2;;
15:53;X2;;
16:23;X2;;
16:53;X1;;
17:23;X1;;
17:53;X1;;
18:23;X1;;
19:03;X1;;
19:45;X1;;
20:15;X0;;
21:15;X3;;
22:10;X3;;
23:10;X3;;
99;Soboty, niedziele i œwiêta;#FFE4E1
05:06;X0;;
06:35;X0;;
08:22;X9;;
09:42;X9;;
10:22;X9;;
11:02;X9;;
11:42;X9;;
12:22;X9;;
13:02;X1;;
13:42;X1;;
14:22;X1;;
15:02;X1;;
15:42;X1;;
16:22;X1;;
17:02;X1;;
17:42;X1;;
18:22;X1;;
19:42;X1;;
21:15;X3;;
22:10;X3;;
