189;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X10(00:00-29:59);
1;B,P(133);ZTM;Maækowy Mleczarnia;0;0;0;0;0;0;0;
2;P(1234);ZTM;P D P S;2;2;2;2;2;1;1;
3;P(1216);ZTM;Ukoœna;2;2;4;2;2;2;2;
4;P(1214);ZTM;Urz¹d Dozoru Technicznego;1;1;2;1;1;1;1;
5;P(1212);ZTM;Nowiny;1;1;1;1;1;1;1;
6;P(1210);ZTM;Goœcinna;1;1;1;1;1;1;1;
7;P(1208);ZTM;Rejtana;1;2;2;2;2;1;1;
8;P(1206);ZTM;Sandomierska;2;2;2;2;1;1;2;
9;P(1204);ZTM;Zremb (n/¿);1;1;1;1;1;1;1;
10;P(1202);ZTM;Elmet (n/¿);1;2;3;1;2;1;1;
11;P(1200);ZTM;Zaroœlak (n/¿);1;2;3;1;1;1;1;
12;P(1032);ZTM;Brama Wy¿ynna;3;4;5;3;4;2;2;
13;B,N,K0,P(1016);ZTM;Dworzec G³ówny;2;2;2;2;2;2;2;
