210;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X24(00:00-29:59);X25(00:00-29:59);X26(00:00-29:59);X27(00:00-29:59)
1;B,P(1522);ZTM;Osowa PKP;;;0;0;0;0;;0;0;0;0;0;0;0;0;0
2;P(1520);ZTM;Biwakowa;;;2;2;2;2;;2;2;2;2;2;2;2;2;2
3;P(1518);ZTM;Niedzia³kowskiego;;;1;1;1;1;;1;1;1;1;1;1;1;1;1
4;P(1516);ZTM;Barniewicka;;;2;2;2;2;;2;2;2;2;2;2;2;2;2
5;P(1514);ZTM;Nowa;;;1;1;1;1;;1;1;1;1;1;1;1;1;1
6;P(1637);ZTM;Sopocka;;;1;1;1;1;;1;1;1;1;1;1;1;1;1
7;P(1639);ZTM;Jednoro¿ca;;;2;2;2;2;;2;2;2;2;2;2;2;2;2
8;P(1883);ZTM;Marsa;;;1;1;1;1;;1;1;1;1;1;1;1;1;1
9;P(1885);ZTM;Owczarnia;;;2;2;2;2;;2;2;2;2;2;2;2;2;2
10;P(1903);ZTM;Meteorytowa (n/¿);;;1;1;1;1;;1;1;1;1;1;1;1;1;1
11;P(1905);ZTM;Telewizyjna (n/¿);;;4;4;4;4;;4;4;4;4;4;4;4;4;4
12;P(1887);ZTM;Ikara;;;3;3;3;3;;3;3;3;3;2;2;2;2;2
13;P(1409);ZTM;Radiowa (n/¿);;;1;1;1;1;;1;1;1;1;1;1;1;1;1
14;P(1406),1,I;ZTM;BCB Azymutalna;;;;;;;;;;3;;;;;;
15;P(1410);ZTM;Spadochroniarzy;;;1;1;1;1;;1;1;1;1;1;1;1;1;1
16;P(101);ZTM;Port Lotniczy;;0;2;2;2;2;;2;2;2;2;2;2;2;2;2
17;P(1404);ZTM;Firoga (n/¿);;3;3;3;3;3;;3;3;3;3;3;3;3;3;3
18;P(1402);ZTM;Szybowcowa;;1;1;1;1;1;;1;1;1;1;1;1;1;1;1
19;P(1400);ZTM;Astronautów;;1;1;1;1;1;;1;1;1;1;1;1;1;1;1
20;P(1398);ZTM;Agrarna;;1;1;1;1;1;;1;1;1;1;1;1;1;1;1
21;P(1396);ZTM;Z³ota Karczma;;2;2;2;2;3;;2;2;2;2;2;2;2;2;2
22;P(1431);ZTM;Potokowa;;4;4;4;4;4;;4;4;4;4;4;4;4;4;4
23;P(1379);ZTM;Brêtowo PKM;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2
24;P(1381);ZTM;Kolumba;;1;1;1;1;2;;2;2;2;2;1;1;1;2;2
25;P(1374);ZTM;Warneñska;;1;1;1;1;1;;1;1;1;1;1;1;1;1;1
26;P(1372);ZTM;Piecewska;;1;1;1;1;1;;1;1;1;1;1;1;1;1;1
27;P(1338);ZTM;Kurpiñskiego;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2
28;P(1336);ZTM;Otwarta;;1;1;1;1;1;;1;1;1;1;1;1;1;1;1
29;P(1334);ZTM;Wagnera;;1;1;1;1;1;;1;1;1;1;1;1;1;1;1
30;P(1332);ZTM;Cygañska Góra;;1;1;1;1;1;;1;1;1;1;1;1;1;1;1
31;P(1330);ZTM;P³owce;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2
32;P(1013);ZTM;Dworzec G³ówny;0;5;5;6;8;6;0;6;6;6;6;5;5;5;5;5
33;P(1033);ZTM;Brama Wy¿ynna;2;2;2;2;2;2;2;3;3;3;3;;2;2;2;
34;P(1201);ZTM;Zaroœlak (n/¿);2;2;2;2;2;2;2;2;3;3;2;;2;2;2;
35;P(1207);ZTM;Sandomierska;2;2;2;2;2;2;2;2;2;2;2;;2;2;2;
36;P(1209);ZTM;Rejtana;1;1;1;1;1;2;2;2;2;2;1;;1;2;2;
37;B,N,K0,P(331);ZTM;Goœcinna;2;2;2;2;2;2;2;2;2;2;2;;2;2;2;
