262;Flagi;Gmina;Nazwa;X3(00:00-29:59);X4(00:00-29:59);
1;B,P(115);ZTM;Wrzeszcz PKP;0;0;
2;P(1345);ZTM;Jaœkowa Dolina;3;3;
3;P(1725);ZTM;Sobótki (n/¿);1;2;
4;P(1361);ZTM;Na Wzgórzu;1;1;
5;P(1363);ZTM;Falista (n/¿);1;1;
6;P(1365);ZTM;Strzelnica (n/¿);1;1;
7;P(1367);ZTM;Dobrowolskiego;2;2;
8;P(1369);ZTM;Piecewska;1;1;
9;P(1726);ZTM;Belgradzka (n/¿);1;1;
10;P(1724);ZTM;Piekarnicza;1;1;
11;P(1346);ZTM;Nowolipie (n/¿);1;1;
12;P(1309);ZTM;Emaus;1;1;
13;P(1311);ZTM;Cmentarz £ostowicki;2;2;
14;P(1861);ZTM;Osiedle Jary;3;3;
15;P(1863);ZTM;Rogaliñska;1;1;
16;P(1865);ZTM;P³ocka;1;1;
17;P(191);ZTM;£ostowice Œwiêtokrzyska;2;2;
18;P(1319);ZTM;£ódzka (n/¿);1;2;
19;P(1321);ZTM;Niepo³omicka;2;2;
20;P(1789);ZTM;Wie¿ycka;1;2;
21;P(1958);ZTM;Osiedle Œwiêtokrzyskie;2;2;
22;P(1960);ZTM;Elfów;1;1;
23;B,N,K0,P(195);ZTM;Jaworzniaków;1;1;
